,site,eastings,northings,latitude,longitude
270,GD090U,256866,0,49.882444333210245,-3.9926116965491256
271,GD090U,256876,666736,55.87252945657424,-4.2877612305372805
272,GD095U,256680,666786,55.87292015547255,-4.290917817653147
273,GD0971,256374,666741,55.87242502937458,-4.295780858036384
274,GD1001,256507,666926,55.874125706111094,-4.2937548055363095
275,GD105A,256618,667094,55.87566716749187,-4.292070952585159
276,GD107A,256726,667243,55.87703711861326,-4.290424835202054
277,GD108A,256225,666984,55.87456243262611,-4.2982893166785905
278,GD110U,255841,667153,55.87596512409555,-4.304512023527115
279,GD1151,255812,667271,55.87701592985093,-4.30503799262634
280,GD116U,255892,667603,55.880020772461016,-4.303936862484334
281,GD117A,255432,667365,55.87774607816173,-4.311157415281455
282,GD120A,255669,667306,55.877287376967224,-4.307340602874963
283,GD1251,254985,667160,55.875771171280356,-4.31818715445014
284,GD1301,254799,667404,55.877905935943495,-4.321288552205386
285,GD1351,254526,667285,55.87675515985541,-4.325584992061826
286,GD138A,254546,667393,55.877730876990256,-4.32532354751201
287,GD138B,254555,667394,55.877742571835995,-4.325180337610647
288,GD1401,254600,667707,55.8805664292419,-4.3246296094126295
289,GD143A,254577,667845,55.881798524211305,-4.32507108334412
290,GD143B,254588,667848,55.881828779492245,-4.324896985116054
291,GD1451,254609,668039,55.88355001365244,-4.324664078420197
292,GD1471,254086,668001,55.883050729317816,-4.332998100333203
293,GD1501,254632,668251,55.885460399422826,-4.324410477168421
294,GD1601,254743,669083,55.89296400829651,-4.323083675402302
295,GD1621,254570,668854,55.890855726778916,-4.325724847301371
296,GD1631,254535,668790,55.89027053443942,-4.326249657977162
297,GD1641,254625,668735,55.889803886993896,-4.324782189401424
298,GD1651,254624,668808,55.890459016220156,-4.324837370515966
299,GD168A,254409,668981,55.891947357943394,-4.32836549133673
300,GD168B,254409,668956,55.891722895890716,-4.3283520439124095
301,GD1701,254811,669184,55.893891341880185,-4.322051343971618
302,GD172U,254348,669433,55.895987185089425,-4.329583392406013
303,GD173U,254623,669287,55.8947594171068,-4.325110634271995
304,GD174U,254062,669453,55.89608017129103,-4.334164250008866
305,GD1751,253734,669299,55.89459798981328,-4.339322205624655
306,GD176U,254122,669158,55.893449707662334,-4.333046469608523
307,GD176U,254127,669180,55.89364874794152,-4.332978436379877
308,GD1801,255017,669716,55.89872997868296,-4.319044806554515
309,GD200A,258131,666585,55.8715446627813,-4.267639408069425
310,GD205A,258112,666726,55.8728050939668,-4.268016660669668
311,GD207A,258030,666951,55.87480119647207,-4.269444122386586
312,GD2091,258007,667133,55.87642857605174,-4.269906842684449
313,GD210A,257997,667243,55.87741330543774,-4.270124218721173
314,GD2151,257949,667543,55.88009281812269,-4.2710482076839575
315,GD217A,257793,667631,55.880836943959125,-4.273586262551133
316,GD220U,258154,667397,55.8788422898217,-4.267697192270358
317,GD222U,258289,668018,55.88445789968211,-4.265865765421968
318,GD2251,257544,667806,55.88233468742639,-4.277655754870782
319,GD2301,257438,668044,55.884440291547946,-4.279474317560376
320,GD234A,258065,668432,55.88810921024631,-4.269661245465767
