From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GC180A,GC1751,R,GC180A,GC1751_R,FALSE,255161,666596,255391,666593
GC1751,GC180A,B,GC1751,GC180A_B,FALSE,255391,666593,255161,666596
GC185A,GC180A,A,GC185A,GC180A_A,FALSE,255014,666600,255161,666596
GC180A,GC185A,S,GC180A,GC185A_S,FALSE,255161,666596,255014,666600
GC2381,GC237A,M,GC2381,GC237A_M,FALSE,251523,668519,251748,668340
GC2401,GC2381,R,GC2401,GC2381_R,FALSE,251351,668658,251523,668519
GC237A,GC2381,S,GC237A,GC2381_S,FALSE,251748,668340,251523,668519
GC2411,GC2401,A,GC2411,GC2401_A,FALSE,251267,668724,251351,668658
GC2381,GC2401,B,GC2381,GC2401_B,FALSE,251523,668519,251351,668658
GA0571,GA058A,B,GA0571,GA058A_B,FALSE,258342,665385,258265,665399
GA0571,GA058A,C,GA0571,GA058A_C,FALSE,258342,665385,258265,665399
GC242A,GC2411,M,GC242A,GC2411_M,FALSE,251060,668894,251267,668724
GC2401,GC2411,N,GC2401,GC2411_N,FALSE,251351,668658,251267,668724
GC2411,GC242A,S,GC2411,GC242A_S,FALSE,251267,668724,251060,668894
GC0251,GC4051,B,GC0251,GC4051_B,FALSE,257283,665089,257142,665205
GC4101,GC4051,D,GC4101,GC4051_D,FALSE,257165,665285,257142,665205
GC4051,GC4101,V,GC4051,GC4101_V,FALSE,257142,665205,257165,665285
GC0201,GC4101,S,GC0201,GC4101_S,FALSE,257306,665250,257165,665285
GC0201,GC4101,Y,GC0201,GC4101_Y,FALSE,257306,665250,257165,665285
GC4101,GC4151,C,GC4101,GC4151_C,FALSE,257165,665285,257191,665398
GC4101,GC4151,E,GC4101,GC4151_E,FALSE,257165,665285,257191,665398
GC4251,GC420A,S,GC4251,GC420A_S,FALSE,257794,664957,257681,664990
GC0251,GC420A,G,GC0251,GC420A_G,FALSE,257283,665089,257681,664990
GA0101,GC4251,D,GA0101,GC4251_D,FALSE,258005,664949,257794,664957
GD0101,GD005A,R,GD0101,GD005A_R,FALSE,257771,666779,257948,666670
